0,1,2,3,4,5,6,7,8,9
8,0,0,0,0,3,0,0,0,0
0,12,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,2,0,0
0,0,0,6,0,5,0,0,3,0
0,0,0,0,7,1,0,1,1,0
0,0,0,1,0,7,0,1,1,1
0,0,1,0,1,1,6,0,0,0
0,1,0,0,0,0,0,9,0,1
0,1,0,1,0,0,0,0,8,0
0,0,0,0,2,1,0,2,0,0
55,0,0,0,0,1,1,0,0,0
0,59,0,0,0,0,0,0,0,0
2,3,20,1,1,1,1,4,4,1
0,1,1,42,1,3,0,0,3,0
0,1,1,1,32,1,0,0,1,9
1,0,0,4,1,28,3,1,3,1
0,1,0,0,0,0,48,0,0,0
1,2,1,0,0,1,0,47,0,1
1,0,0,4,0,4,1,0,52,1
0,1,0,1,9,0,0,5,0,26
99,0,0,0,0,1,2,1,0,0
0,101,0,0,0,0,0,0,0,0
1,4,91,2,0,0,1,4,0,1
0,0,2,72,0,6,1,1,6,2
0,3,0,0,83,0,3,1,0,13
0,0,0,5,0,65,4,0,5,3
1,1,0,0,0,4,108,0,1,0
0,1,0,0,0,0,0,108,1,5
1,2,1,5,1,6,3,2,81,1
0,1,0,0,9,1,0,5,1,67
540,0,0,0,0,3,3,0,1,0
0,508,1,0,0,0,4,0,1,0
6,8,483,3,0,1,2,12,5,2
0,4,7,445,2,13,2,2,7,3
1,9,2,0,428,0,3,1,0,26
1,1,2,16,3,474,6,0,2,6
4,2,0,1,1,4,459,0,0,0
0,6,2,0,3,2,0,492,0,10
3,4,1,12,2,11,2,5,434,10
2,0,3,5,10,2,1,9,1,448
955,0,0,0,0,2,6,0,3,0
0,1100,0,0,2,1,0,0,2,1
7,5,908,3,2,3,4,17,8,1
1,4,9,962,2,20,4,12,13,6
1,7,0,1,947,1,8,6,2,45
3,2,1,18,2,840,16,0,3,10
9,0,3,0,1,7,967,0,0,0
0,13,5,0,5,0,0,1019,1,19
3,6,5,14,7,21,8,3,887,10
3,5,4,5,25,5,1,14,5,944
1977,0,0,0,1,3,12,2,3,2
0,2153,7,2,3,0,0,5,1,2
10,6,1944,6,1,0,4,36,6,2
1,2,12,1978,0,30,3,12,18,11
1,10,0,1,1849,0,7,4,0,47
3,3,1,24,2,1703,20,3,8,8
8,2,0,0,3,7,1966,1,2,0
0,20,6,0,5,0,0,2060,1,27
2,10,6,31,6,19,13,2,1808,19
3,9,4,14,26,8,1,32,4,1926
2936,0,2,0,3,3,12,2,1,2
0,3365,15,1,3,3,1,4,2,5
16,13,2834,8,3,0,3,44,11,5
1,6,25,2937,0,38,2,8,36,21
3,9,0,0,2835,0,11,6,0,66
6,2,1,32,2,2620,29,1,9,11
9,2,1,0,3,13,2952,0,1,0
2,26,11,2,9,0,0,3086,0,32
5,16,6,24,9,35,15,7,2728,18
8,4,6,17,45,14,3,25,5,2847
4096,0,1,0,1,7,17,2,3,5
1,4639,15,7,3,2,3,6,2,6
17,11,4075,6,2,1,3,43,14,5
2,7,30,4184,0,47,1,13,45,22
5,16,0,0,3953,0,14,10,1,73
6,4,2,31,2,3681,39,4,6,20
8,3,1,0,4,15,4102,0,4,0
2,32,17,3,6,1,0,4299,2,39
6,17,10,37,11,31,16,5,3901,29
11,7,5,21,45,12,3,40,16,4028
